Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CMHSF,COMPREHENSIVE HEALTHCARE,Pink Current,0.040000,,0,Foreign Ordinary Shares,Canada,Alberta
CMICF,CMIC CO LTD,Pink Limited,14.600000,,0,Foreign Ordinary Shares,Japan,
CMILF,CAPELLA MINERALS LTD,OTCQB,0.024300,,0,Foreign Ordinary Shares,Canada,British Columbia
CMLGF,CANICKEL MINING LTD NEW,Pink Current,0.051200,,0,Foreign Ordinary Shares,Canada,Ontario
CMMMF,COMSTOCK METALS LTD,Pink Current,0.020200,,0,Foreign Ordinary Shares,Canada,British Columbia
CMNLF,CMON LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
CMOIF,COSMOPOLITAN INTL HLDGS,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
CMOPF,COSMO PHARMA NV ORD,Pink Limited,50.300000,,0,Foreign Ordinary Shares,,
CMOT,CURTISS MOTORCYCLES CO,Pink Limited,0.114000,,0,Common Stock,USA,Alabama
CMPBY,COMPANHIA BRASRA U/ADR,Pink Limited,0.000000,,0,ADRs,,
CMPCY,COMPAL ELECTR S/ADR 144A,Pink Limited,4.000000,,0,ADRs,Taiwan,
CMPD,COMPUMED INC,Pink Current,2.000000,,20,Common Stock,USA,California
CMPFF,COMPAL ELECTRONICS GDR,Pink Limited,3.000000,,0,New York Registry Shs,Taiwan,
CMPGF,COMPASS GROUP PLC ORD NEW,Pink Current,25.560000,1.970800,134,Foreign Ordinary Shares,United Kingdom,England
CMPGY,COMPASS GROUP SP/ADR,Pink Current,25.150000,0.359100,98578,ADRs,United Kingdom,England
CMPNF,CHAMPION RE INVST TR,Pink Current,0.332600,,0,Fund,Hong Kong,
CMPRF,GENTERA SAB DE CV ORD,Pink Limited,1.220000,,0,Foreign Ordinary Shares,,
CMPRY,COMPARTAMOS SAB DE CV ADR,Pink Limited,0.000000,,0,ADRs,,
CMPUY,COMPUGROUP MED SE&CO ADR,Pink Current,56.000000,,0,ADRs,,
CMPVF,COMPUGOUP MED SE,Pink Current,34.000000,,0,Foreign Ordinary Shares,Germany,
CMPY,COMEPAY INC,Pink Limited,0.001200,,0,Common Stock,Canada,Ontario
CMRB,FIRST COMMERCE BANCORP,Pink Current,6.150000,,5,Common Stock,USA,New Jersey
CMRF,CIM REAL ESTTE FIN TR INC,Pink Current,4.000000,,0,Common Stock,USA,Arizona
CMRZF,COMMERCE RES CORP,OTCQX International,0.070000,,5000,Foreign Ordinary Shares,Canada,British Columbia
CMSQF,COMPUTERSHARE LTD AUD,Pink Current,15.606000,,0,Foreign Ordinary Shares,Australia,
CMSQY,COMPUTERSHARE LTD ADR,Pink Current,15.720000,-2.722800,26992,ADRs,Australia,
CMSYF,COMSYS HOLDINGS CORP ORD,Pink Limited,28.700000,,0,Foreign Ordinary Shares,,
CMTDF,SUMITOMO MITSUI TR ORD,Pink Current,36.620000,,0,Foreign Ordinary Shares,Japan,
CMTHF,CEMENTIR HLDG N V,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
CMTNF,CULLINAN METALS CORP,OTCQB,0.208700,-1.323900,725,Foreign Ordinary Shares,Canada,British Columbia
CMTOY,CEMENTOS ARGOS S/ADR,Pink Current,4.374500,,22,ADRs,Colombia,
CMTRY,CEMENTOS ARGOS  D/S 144A,Pink Current,22.830200,,0,ADRs,Colombia,
CMTSY,CEMENTOS ARGOS REG S ADR,Pink Current,16.000000,,0,ADRs,Colombia,
CMTUF,COMTURE CORP TOKYO,Pink Limited,25.500000,,0,Foreign Ordinary Shares,,
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,17.000000,1.644200,189,Common Stock,USA,Vermont
CMUV,CMUV BANCORP,OTCQB,14.200000,-0.350900,100,Common Stock,USA,California
CMVLF,CELLECTIS ROMAINVILLE ORD,Pink Limited,1.970000,,0,Foreign Ordinary Shares,France,
CMWAY,CMNWLTH BK AUSTRLA S/ADR,Pink Current,63.940000,-0.714300,32664,ADRs,Australia,New South Wales
CMXC,CELL MEDX CORP,Pink Current,0.035000,16.666700,1000,Common Stock,USA,Nevada
CMXHF,CSL LTD,OTCQX International,169.100000,,0,Foreign Ordinary Shares,Australia,Victoria
CNADF,CANADABIS CAP INC,Pink Current,0.218500,,0,Foreign Ordinary Shares,Canada,Alberta
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,10.860100,,106,Common Stock,USA,Pennsylvania
